Symbol,Price,RSI,Pivot middle,Pivot support 1,Pivot support 2,Chart Link
CSX,31.35,53.52598688,31.18333333,29.63166667,26.57333333,https://finance.yahoo.com/quote/CSX/chart?p=CSX
AMD,73.62,55.10927544,71.60666667,64.05333333,50.47666667,https://finance.yahoo.com/quote/AMD/chart?p=AMD
GOOGL,99.48,54.9986144,95.12333333,89.20666667,77.42333333,https://finance.yahoo.com/quote/GOOGL/chart?p=GOOGL
AMZN,91.01,38.50403653,95.66333333,86.74666667,76.95333333,https://finance.yahoo.com/quote/AMZN/chart?p=AMZN
DBX,22.47,51.49406829,22.51666667,21.46333333,19.36666667,https://finance.yahoo.com/quote/DBX/chart?p=DBX
AAPL,146.63,49.45750621,145.95333333,136.45666667,124.88333333,https://finance.yahoo.com/quote/AAPL/chart?p=AAPL
SBUX,103.55,70.2802398,95.91,89.26,76.32,https://finance.yahoo.com/quote/SBUX/chart?p=SBUX
MSFT,250.2,56.81946556,241.30033333,227.27066667,199.40133333,https://finance.yahoo.com/quote/MSFT/chart?p=MSFT
CSCO,49.33,67.82919404,47.64666667,45.46333333,41.20666667,https://finance.yahoo.com/quote/CSCO/chart?p=CSCO
TSCO,220.95,55.0614552,218.45,208.8,191.29,https://finance.yahoo.com/quote/TSCO/chart?p=TSCO
NVDA,166.1,60.49267397,156.25666667,142.53333333,115.83666667,https://finance.yahoo.com/quote/NVDA/chart?p=NVDA
BAC,34.47,36.73567461,37.28666667,35.97333333,34.09666667,https://finance.yahoo.com/quote/BAC/chart?
SYF,34.39,44.09823036,37.355,33.825,30.07,https://finance.yahoo.com/quote/SYF/chart?
IBM,147.41,63.26936825,144.44333333,138.42666667,127.95333333,https://finance.yahoo.com/quote/IBM/chart?
DKS,115.23,52.51097943,113.36333333,104.22666667,88.87333333,https://finance.yahoo.com/quote/DKS/chart?
KR,46.07,41.61460031,48.18333333,46.62666667,44.06333333,https://finance.yahoo.com/quote/KR/chart?
UNH,535.04,52.08602989,534.7408,513.7916,479.8232,https://finance.yahoo.com/quote/UNH/chart?
DUK,99.13,58.04910563,96.90166667,93.38333333,86.83666667,https://finance.yahoo.com/quote/DUK/chart?
TM,143.19,50.99723887,143.47833333,138.31166667,128.93333333,https://finance.yahoo.com/quote/TM/chart?
CNI,126.7,60.62431086,123.91333333,119.21666667,110.00333333,https://finance.yahoo.com/quote/CNI/chart?
V,213.68,58.51088023,209.10833333,201.21666667,185.43333333,https://finance.yahoo.com/quote/V/chart?
DE,436.89,68.84893687,423.21996667,398.04003333,355.08006667,https://finance.yahoo.com/quote/DE/chart?
FE,41.33,66.36606578,39.74333333,38.18166667,35.12333333,https://finance.yahoo.com/quote/FE/chart?
MA,356.09,63.39271213,340.46666667,324.53333333,292.66666667,https://finance.yahoo.com/quote/MA/chart?
O,62.24,46.00918777,62.96406667,60.05093333,57.03186667,https://finance.yahoo.com/quote/O/chart?
LMT,490.67,62.55175861,479.3,463.94,442.69,https://finance.yahoo.com/quote/LMT/chart?
WMT,151.65,63.46143504,148.44333333,142.24666667,132.07333333,https://finance.yahoo.com/quote/WMT/chart?
DGX,148.92,57.60815464,147.66333333,142.20666667,132.58333333,https://finance.yahoo.com/quote/DGX/chart?
WM,167.79,63.08994265,163.10333333,158.48666667,149.25333333,https://finance.yahoo.com/quote/WM/chart?
GIS,86.3,74.53981817,82.23,78.84,72.38,https://finance.yahoo.com/quote/GIS/chart?
JPM,131.37,50.42356018,134.09,130,121.82,https://finance.yahoo.com/quote/JPM/chart?
T,18.75,54.35578031,18.91333333,18.43666667,17.59333333,https://finance.yahoo.com/quote/T/chart?
ABBV,163.94,75.17865016,155.13,149.08,136.98,https://finance.yahoo.com/quote/ABBV/chart?
JNJ,178.78,65.59584317,174.31333333,170.50666667,163.01333333,https://finance.yahoo.com/quote/JNJ/chart?
VALE,16.46,65.43114496,15.29,13.96,11.42,https://finance.yahoo.com/quote/VALE/chart?
LOW,206.18,51.4818563,204.09,186.76,160.97,https://finance.yahoo.com/quote/LOW/chart?
LEN,87.35,59.33915728,84.87333333,79.74666667,71.66333333,https://finance.yahoo.com/quote/LEN/chart?
CVX,176.56,45.29726082,182.93666667,176.19333333,169.07666667,https://finance.yahoo.com/quote/CVX/chart?
XOM,106.85,42.52658643,111.1614,107.6586,103.9772,https://finance.yahoo.com/quote/XOM/chart?
CAT,232.57,60.22668119,229.20603333,218.56206667,200.71413333,https://finance.yahoo.com/quote/CAT/chart?
NKE,109.62,63.28272727,102.7,95.71,81.73,https://finance.yahoo.com/quote/NKE/chart?
