shortName,industry,symbol,exchange,currentPrice,heldPercentInstitutions,dividendYield,exDividendDate,forwardPE,trailingPE,priceToBook,nextEarningsDate,4Quarters_increasing_revenue,4Quarters_increasing_profit,4years_increasing_revenue,4years_increasing_profit,pct_chg_5y,pct_chg_1y,pct_chg_6mo,pct_chg_3mo,pct_chg_1mo,pct_chg_1wk,fundamentals_url,daily_chart,5mo_chart
"Analog Devices, Inc.",Semiconductors,ADI,NASDAQ,178.82000732421875,88.27,2.16,Mon Aug 29 00:00:00 2022,26.61,47.42,5.46,2023-02-14 00:00:00,True,False,False,False,130.52,13.15,1.99,24.48,7.78,5.85,https://g.co/finance/ADI:NASDAQ,https://stockcharts.com/h-sc/ui?s=ADI&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=ADI&p=D&b=5&g=0&id=p05555723250
"Applied Materials, Inc.",Semiconductor Equipment & Materials,AMAT,NASDAQ,119.9800033569336,79.45,1.1900000000000002,Wed Nov 23 00:00:00 2022,17.99,28.7,9.6,2023-02-14 00:00:00,True,False,False,False,151.31,-10.68,11.27,31.16,20.81,10.89,https://g.co/finance/AMAT:NASDAQ,https://stockcharts.com/h-sc/ui?s=AMAT&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=AMAT&p=D&b=5&g=0&id=p05555723250
"Cisco Systems, Inc.",Communication Equipment,CSCO,NASDAQ,48.630001068115234,75.01,3.42,Tue Oct  4 00:00:00 2022,14.22,20.35,5.25,2022-02-07 00:00:00,True,False,False,False,45.97,-8.86,9.02,9.16,2.27,0.85,https://g.co/finance/CSCO:NASDAQ,https://stockcharts.com/h-sc/ui?s=CSCO&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CSCO&p=D&b=5&g=0&id=p05555723250
CSX Corporation,Railroads,CSX,NASDAQ,32.27000045776367,77.59,1.39,Tue Nov 29 00:00:00 2022,6.51,9.14,1.86,2023-04-18 00:00:00,True,False,False,False,98.47,-4.75,-1.68,9.25,3.16,8.0,https://g.co/finance/CSX:NASDAQ,https://stockcharts.com/h-sc/ui?s=CSX&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CSX&p=D&b=5&g=0&id=p05555723250
Cognizant Technology Solutions ,Information Technology Services,CTSH,NASDAQ,68.22000122070312,92.93,1.7500000000000002,Thu Aug 18 00:00:00 2022,15.54,26.54,3.34,2023-01-31 00:00:00,True,False,True,False,-0.71,-20.21,0.09,30.21,17.5,4.52,https://g.co/finance/CTSH:NASDAQ,https://stockcharts.com/h-sc/ui?s=CTSH&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=CTSH&p=D&b=5&g=0&id=p05555723250
Microchip Technology Incorporat,Semiconductors,MCHP,NASDAQ,85.33999633789062,96.05,1.9199998999999999,Thu Aug 18 00:00:00 2022,11.38,67.84,4.34,2023-02-01 00:00:00,True,True,True,False,105.67,15.87,18.31,34.23,15.64,12.76,https://g.co/finance/MCHP:NASDAQ,https://stockcharts.com/h-sc/ui?s=MCHP&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=MCHP&p=D&b=5&g=0&id=p05555723250
"Nasdaq, Inc.",Financial Data & Stock Exchanges,NDAQ,NASDAQ,60.54999923706055,77.58,1.3300001000000001,Thu Dec  1 00:00:00 2022,8.47,9.85,1.57,2023-04-18 00:00:00,True,False,True,True,154.06,3.05,-0.01,-1.89,-1.78,1.51,https://g.co/finance/NDAQ:NASDAQ,https://stockcharts.com/h-sc/ui?s=NDAQ&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=NDAQ&p=D&b=5&g=0&id=p05555723250
Northern Trust Corporation,Asset Management,NTRS,NASDAQ,98.16999816894531,85.47,3.65,Thu Dec  8 00:00:00 2022,13.37,17.5,1.93,2023-04-24 00:00:00,True,False,True,False,7.0,-16.85,-0.06,17.22,7.08,1.24,https://g.co/finance/NTRS:NASDAQ,https://stockcharts.com/h-sc/ui?s=NTRS&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=NTRS&p=D&b=5&g=0&id=p05555723250
"SS&C Technologies Holdings, Inc",Software—Application,SSNC,NASDAQ,61.619998931884766,85.93,1.6199999999999999,Wed Aug 31 00:00:00 2022,12.4,23.44,2.76,2023-02-08 00:00:00,True,False,True,True,31.07,-22.28,1.94,24.26,15.44,4.58,https://g.co/finance/SSNC:NASDAQ,https://stockcharts.com/h-sc/ui?s=SSNC&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=SSNC&p=D&b=5&g=0&id=p05555723250
"T. Rowe Price Group, Inc.",Asset Management,TROW,NASDAQ,125.81999969482422,78.9,4.3999999999999995,Wed Sep 14 00:00:00 2022,9.79,10.68,3.57,2023-01-25 00:00:00,False,False,True,True,40.52,-11.88,-1.53,23.61,12.98,8.03,https://g.co/finance/TROW:NASDAQ,https://stockcharts.com/h-sc/ui?s=TROW&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=TROW&p=D&b=5&g=0&id=p05555723250
Xcel Energy Inc.,Utilities—Regulated Electric,XEL,NASDAQ,67.9800033569336,79.77,3.1199999999999997,Wed Sep 14 00:00:00 2022,21.44,23.45,2.49,2023-01-25 00:00:00,False,False,True,True,79.47,-1.12,-8.01,4.18,-5.56,-1.15,https://g.co/finance/XEL:NASDAQ,https://stockcharts.com/h-sc/ui?s=XEL&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=XEL&p=D&b=5&g=0&id=p05555723250
Abbott Laboratories,Medical Devices,ABT,NYSE,111.79000091552734,75.68,1.9199998999999999,Thu Oct 13 00:00:00 2022,20.66,35.02,6.04,2023-04-18 00:00:00,False,False,True,True,106.61,-12.28,2.83,12.35,0.98,1.8,https://g.co/finance/ABT:NYSE,https://stockcharts.com/h-sc/ui?s=ABT&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=ABT&p=D&b=5&g=0&id=p05555723250
Agnico Eagle Mines Limited,Gold,AEM,NYSE,52.439998626708984,67.38,3.56,Wed Nov 30 00:00:00 2022,16.44,19.14,2.24,2023-02-21 00:00:00,False,False,True,True,28.09,6.61,21.96,21.78,-5.48,-6.32,https://g.co/finance/AEM:NYSE,https://stockcharts.com/h-sc/ui?s=AEM&p=D&yr=0&mn=1&dy=0&id=p00835703143,https://stockcharts.com/h-sc/ui?s=AEM&p=D&b=5&g=0&id=p05555723250
